id_batiment,type_batiment,nb_maisons,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000001,habitation,4,habitation,1.0,1.0,0
E000002,habitation,1,habitation,1.0,1.0,0
E000003,habitation,1,habitation,1.0,1.0,0
E000004,habitation,1,habitation,1.0,1.0,0
E000005,habitation,1,habitation,1.0,1.0,0
E000006,habitation,1,habitation,1.0,1.0,0
E000007,habitation,1,habitation,1.0,1.0,0
E000008,habitation,1,habitation,1.0,1.0,0
E000009,habitation,1,habitation,1.0,1.0,0
E000010,habitation,1,habitation,1.0,1.0,0
E000011,habitation,1,habitation,1.0,1.0,0
E000012,habitation,1,habitation,1.0,1.0,0
E000013,habitation,1,habitation,1.0,1.0,0
E000014,habitation,1,habitation,1.0,1.0,0
E000015,habitation,1,habitation,1.0,1.0,0
E000016,habitation,1,habitation,1.0,1.0,0
E000017,habitation,1,habitation,1.0,1.0,0
E000018,habitation,1,habitation,1.0,1.0,0
E000019,habitation,1,habitation,1.0,1.0,0
E000020,habitation,1,habitation,1.0,1.0,0
E000021,habitation,1,habitation,1.0,1.0,0
E000022,habitation,1,habitation,1.0,1.0,0
E000023,habitation,1,habitation,1.0,1.0,0
E000024,habitation,1,habitation,1.0,1.0,0
E000025,habitation,1,habitation,1.0,1.0,0
E000026,habitation,1,habitation,1.0,1.0,0
E000027,habitation,1,habitation,1.0,1.0,0
E000028,habitation,1,habitation,1.0,1.0,0
E000029,habitation,1,habitation,1.0,1.0,0
E000030,habitation,1,habitation,1.0,1.0,0
E000031,habitation,1,habitation,1.0,1.0,0
E000032,habitation,1,habitation,1.0,1.0,0
E000033,habitation,1,habitation,1.0,1.0,0
E000034,habitation,1,habitation,1.0,1.0,0
E000035,habitation,1,habitation,1.0,1.0,0
E000036,habitation,1,habitation,1.0,1.0,0
E000037,habitation,1,habitation,1.0,1.0,0
E000038,habitation,1,habitation,1.0,1.0,0
E000039,habitation,1,habitation,1.0,1.0,0
E000040,habitation,1,habitation,1.0,1.0,0
E000041,habitation,1,habitation,1.0,1.0,0
E000042,habitation,1,habitation,1.0,1.0,0
E000043,habitation,1,habitation,1.0,1.0,0
E000044,habitation,1,habitation,1.0,1.0,0
E000045,habitation,1,habitation,1.0,1.0,0
E000046,habitation,1,habitation,1.0,1.0,0
E000047,habitation,1,habitation,1.0,1.0,0
E000048,habitation,1,habitation,1.0,1.0,0
E000049,habitation,1,habitation,1.0,1.0,0
E000050,habitation,1,habitation,1.0,1.0,0
E000051,habitation,1,habitation,1.0,1.0,0
E000052,habitation,1,habitation,1.0,1.0,0
E000053,habitation,1,habitation,1.0,1.0,0
E000054,habitation,1,habitation,1.0,1.0,0
E000055,habitation,1,habitation,1.0,1.0,0
