id_batiment,nb_maisons,type_batiment,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000001,4,habitation,habitation,1.0,1.0,0
E000002,1,habitation,habitation,1.0,1.0,0
E000003,1,habitation,habitation,1.0,1.0,0
E000004,1,habitation,habitation,1.0,1.0,0
E000005,1,habitation,habitation,1.0,1.0,0
E000006,1,habitation,habitation,1.0,1.0,0
E000007,1,habitation,habitation,1.0,1.0,0
E000008,1,habitation,habitation,1.0,1.0,0
E000009,1,habitation,habitation,1.0,1.0,0
E000010,1,habitation,habitation,1.0,1.0,0
E000011,1,habitation,habitation,1.0,1.0,0
E000012,1,habitation,habitation,1.0,1.0,0
E000013,1,habitation,habitation,1.0,1.0,0
E000014,1,habitation,habitation,1.0,1.0,0
E000015,1,habitation,habitation,1.0,1.0,0
E000016,1,habitation,habitation,1.0,1.0,0
E000017,1,habitation,habitation,1.0,1.0,0
E000018,1,habitation,habitation,1.0,1.0,0
E000019,1,habitation,habitation,1.0,1.0,0
E000020,1,habitation,habitation,1.0,1.0,0
E000021,1,habitation,habitation,1.0,1.0,0
E000022,1,habitation,habitation,1.0,1.0,0
E000023,1,habitation,habitation,1.0,1.0,0
E000024,1,habitation,habitation,1.0,1.0,0
E000025,1,habitation,habitation,1.0,1.0,0
E000026,1,habitation,habitation,1.0,1.0,0
E000027,1,habitation,habitation,1.0,1.0,0
E000028,1,habitation,habitation,1.0,1.0,0
E000029,1,habitation,habitation,1.0,1.0,0
E000030,1,habitation,habitation,1.0,1.0,0
E000031,1,habitation,habitation,1.0,1.0,0
E000032,1,habitation,habitation,1.0,1.0,0
E000033,1,habitation,habitation,1.0,1.0,0
E000034,1,habitation,habitation,1.0,1.0,0
E000035,1,habitation,habitation,1.0,1.0,0
E000036,1,habitation,habitation,1.0,1.0,0
E000037,1,habitation,habitation,1.0,1.0,0
E000038,1,habitation,habitation,1.0,1.0,0
E000039,1,habitation,habitation,1.0,1.0,0
E000040,1,habitation,habitation,1.0,1.0,0
E000041,1,habitation,habitation,1.0,1.0,0
E000042,1,habitation,habitation,1.0,1.0,0
E000043,1,habitation,habitation,1.0,1.0,0
E000044,1,habitation,habitation,1.0,1.0,0
E000045,1,habitation,habitation,1.0,1.0,0
E000046,1,habitation,habitation,1.0,1.0,0
E000047,1,habitation,habitation,1.0,1.0,0
E000048,1,habitation,habitation,1.0,1.0,0
E000049,1,habitation,habitation,1.0,1.0,0
E000050,1,habitation,habitation,1.0,1.0,0
E000051,1,habitation,habitation,1.0,1.0,0
E000052,1,habitation,habitation,1.0,1.0,0
E000053,1,habitation,habitation,1.0,1.0,0
E000054,1,habitation,habitation,1.0,1.0,0
E000055,1,habitation,habitation,1.0,1.0,0
E000056,1,habitation,habitation,1.0,1.0,0
E000057,1,habitation,habitation,1.0,1.0,0
E000058,1,habitation,habitation,1.0,1.0,0
E000059,1,habitation,habitation,1.0,1.0,0
E000060,1,habitation,habitation,1.0,1.0,0
E000061,1,habitation,habitation,1.0,1.0,0
E000062,1,habitation,habitation,1.0,1.0,0
E000063,1,habitation,habitation,1.0,1.0,0
E000064,1,habitation,habitation,1.0,1.0,0
E000065,1,habitation,habitation,1.0,1.0,0
E000066,1,habitation,habitation,1.0,1.0,0
E000067,1,habitation,habitation,1.0,1.0,0
E000068,1,habitation,habitation,1.0,1.0,0
