id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons
E000001,4,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,4
E000001,4,P007983,infra_intacte,40.3209288665353,aerien,3,habitation,infra_intacte,4
E000001,4,P000308,infra_intacte,39.1407985664577,fourreau,3,habitation,infra_intacte,4
E000001,4,P007819,infra_intacte,17.3904643240185,fourreau,3,habitation,infra_intacte,4
E000002,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000002,1,P007983,infra_intacte,40.3209288665353,aerien,3,habitation,infra_intacte,1
E000002,1,P000308,infra_intacte,39.1407985664577,fourreau,3,habitation,infra_intacte,1
E000002,1,P007240,infra_intacte,10.9146257880949,aerien,3,habitation,infra_intacte,1
E000003,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000003,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000003,1,P007113,a_remplacer,12.1935087083631,aerien,1,habitation,a_remplacer,1
E000003,1,P007984,a_remplacer,30.0575979492587,aerien,1,habitation,a_remplacer,1
E000003,1,P007823,a_remplacer,12.290282829583,aerien,1,habitation,a_remplacer,1
E000004,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000004,1,P007983,infra_intacte,40.3209288665353,aerien,2,habitation,infra_intacte,1
E000004,1,P000308,infra_intacte,39.1407985664577,fourreau,2,habitation,infra_intacte,1
E000004,1,P000378,infra_intacte,27.4818057324541,aerien,2,habitation,infra_intacte,1
E000004,1,P007393,infra_intacte,10.6355248457681,fourreau,2,habitation,infra_intacte,1
E000005,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000005,1,P007983,infra_intacte,40.3209288665353,aerien,7,habitation,infra_intacte,1
E000005,1,P000308,infra_intacte,39.1407985664577,fourreau,7,habitation,infra_intacte,1
E000005,1,P000378,infra_intacte,27.4818057324541,aerien,7,habitation,infra_intacte,1
E000005,1,P007249,infra_intacte,14.6437823794193,aerien,7,habitation,infra_intacte,1
E000006,1,P007111,infra_intacte,12.3144613356693,fourreau,4,habitation,infra_intacte,1
E000006,1,P007983,infra_intacte,40.3209288665353,aerien,4,habitation,infra_intacte,1
E000006,1,P000308,infra_intacte,39.1407985664577,fourreau,4,habitation,infra_intacte,1
E000006,1,P000308,infra_intacte,39.1407985664577,fourreau,4,habitation,infra_intacte,1
E000006,1,P007173,infra_intacte,8.70234350887561,aerien,4,habitation,infra_intacte,1
E000007,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000007,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000007,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1
E000007,1,P007982,infra_intacte,49.956115228201,fourreau,1,habitation,infra_intacte,1
E000007,1,P000181,infra_intacte,6.18934271279126,aerien,1,habitation,infra_intacte,1
E000007,1,P007132,infra_intacte,6.38798150462252,aerien,1,habitation,infra_intacte,1
E000008,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000008,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000008,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000008,1,P007982,infra_intacte,49.956115228201,fourreau,6,habitation,infra_intacte,1
E000008,1,P000352,infra_intacte,3.33298661989259,aerien,6,habitation,infra_intacte,1
E000008,1,P007320,infra_intacte,5.49514798849418,fourreau,6,habitation,infra_intacte,1
E000009,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000009,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000009,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000009,1,P007982,infra_intacte,49.956115228201,fourreau,2,habitation,infra_intacte,1
E000009,1,P000352,infra_intacte,3.33298661989259,aerien,2,habitation,infra_intacte,1
E000009,1,P007286,infra_intacte,7.27509782129326,aerien,2,habitation,infra_intacte,1
E000010,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000010,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000010,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000010,1,P007982,infra_intacte,49.956115228201,fourreau,5,habitation,infra_intacte,1
